Numéro NATINF;Nature de l'infraction;Qualification de l'infraction;Définie par;Réprimée par
25366;Contravention de classe 4;PECHE, LA NUIT, DANS LE LAC LEMAN A L'AIDE D'UN ENGIN PENDANT UNE PERIODE OU SON EMPLOI EST INTERDIT;ART.R.436-86, ART.R.436-85 C.ENVIR. ART.3 ACCORD DU 20/11/1980. ART.19, ART.20, ART.21,ART.22, ART.23, ART.25,ART.26,ART.27,ART.28,ART.29,ART.31,ART.34,ART.36,ART.37 REGLT DU 18/12/2020.;ART.R.436-86, ART.L.437-22 AL.1, ART.L.173-7 2° C.ENVIR.
25367;Contravention de classe 3;PECHE DANS LE LAC LEMAN AVEC UN NOMBRE D'ENGINS SUPERIEUR AU MAXIMUM AUTORISE;ART.R.436-86,ART.R.436-85 C.ENVIR. ART.3 ACCORD DU 20/11/1980. ART.21,ART.22,ART.23,ART.25,ART.26,ART.27,ART.28, ART.29, ART.31, ART.32, ART.33, ART.34, ART.37, ART.38, ART.39, ART.40, ART.41 REGLT DU 18/12/2020.;ART.R.436-86, ART.L.437-22 AL.1, ART.L.173-7 2° C.ENVIR.
25368;Contravention de classe 4;PECHE, LA NUIT, DANS LE LAC LEMAN AVEC UN NOMBRE D'ENGINS SUPERIEUR AU MAXIMUM AUTORISE;ART.R.436-86,ART.R.436-85 C.ENVIR. ART.3 ACCORD DU 20/11/1980. ART.21,ART.22,ART.23,ART.25,ART.26,ART.27,ART.28, ART.29, ART.31, ART.32, ART.33, ART.34, ART.37, ART.38, ART.39, ART.40, ART.41 REGLT DU 18/12/2020.;ART.R.436-86, ART.L.437-22 AL.1, ART.L.173-7 2° C.ENVIR.
25369;Contravention de classe 3;PECHE DANS UNE ZONE DU LAC LEMAN A L'AIDE D'UN ENGIN OU SON EMPLOI EST INTERDIT;ART.R.436-86, ART.R.436-85 C.ENVIR. ART.3 ACCORD DU 20/11/1980. ART.20 AL.2 C), ART.21 AL.3 B), ART.27 AL.2 B), ART.47 AL.3 A) REGLT DU 18/12/2020.;ART.R.436-86, ART.L.437-22 AL.1, ART.L.173-7 2° C.ENVIR.
25370;Contravention de classe 4;PECHE, LA NUIT, DANS UNE ZONE DU LAC LEMAN A L'AIDE D'UN ENGIN OU SON EMPLOI EST INTERDIT;ART.R.436-86, ART.R.436-85 C.ENVIR. ART.3 ACCORD DU 20/11/1980. ART.20 AL.2 C), ART.21 AL.3 B), ART.27 AL.2 B), ART.47 AL.3 A) REGLT DU 18/12/2020.;ART.R.436-86, ART.L.437-22 AL.1, ART.L.173-7 2° C.ENVIR.
25371;Contravention de classe 3;PECHE DANS LE LAC LEMAN A L'AIDE D'UN ENGIN DANS UNE ZONE ET A UNE PERIODE OU SON EMPLOI EST INTERDIT;ART.R.436-86, ART.R.436-85 C.ENVIR. ART.3 ACCORD DU 20/11/1980. ART.19 AL.2 C), ART.20 AL.2, ART.46 AL.3 B), ART.48 AL.1 REGLT DU 18/12/2020.;ART.R.436-86, ART.L.437-22 AL.1, ART.L.173-7 2° C.ENVIR.
25372;Contravention de classe 4;PECHE, LA NUIT, DANS LE LAC LEMAN A L'AIDE D'UN ENGIN DANS UNE ZONE ET A UNE PERIODE OU SON EMPLOI EST INTERDIT;ART.R.436-86, ART.R.436-85 C.ENVIR. ART.3 ACCORD DU 20/11/1980. ART.19 AL.2 C), ART.20 AL.2, ART.46 AL.3 B), ART.48 AL.1 REGLT DU 18/12/2020.;ART.R.436-86, ART.L.437-22 AL.1, ART.L.173-7 2° C.ENVIR.
25373;Contravention de classe 3;UTILISATION IRREGULIERE, DANS LE LAC LEMAN, D'ENGIN OU PROCEDE DE PECHE;ART.R.436-86, ART.R.436-85 C.ENVIR. ART.3 ACCORD DU 20/11/1980. ART.18,ART.21,ART.22,ART.23,ART.24,ART.27,ART.29, ART.30,ART.31,ART.32,ART.34,ART.36,ART.37,ART.38, ART.39,ART.40,ART.41,ART.45 REGLT DU 18/12/2020.;ART.R.436-86, ART.L.437-22 AL.1, ART.L.173-7 2° C.ENVIR.
25374;Contravention de classe 4;UTILISATION IRREGULIERE, LA NUIT, DANS LE LAC LEMAN, D'ENGIN OU PROCEDE DE PECHE;ART.R.436-86, ART.R.436-85 C.ENVIR. ART.3 ACCORD DU 20/11/1980. ART.18,ART.21,ART.22,ART.23,ART.24,ART.27,ART.29, ART.30,ART.31,ART.32,ART.34,ART.36,ART.37,ART.38, ART.39,ART.40,ART.41,ART.45 REGLT DU 18/12/2020.;ART.R.436-86, ART.L.437-22 AL.1, ART.L.173-7 2° C.ENVIR.
25375;Contravention de classe 3;PECHE DANS LE LAC LEMAN D'UNE ESPECE A UNE PERIODE OU SA PECHE EST INTERDITE;ART.R.436-86, ART.R.436-85 C.ENVIR. ART.3 ACCORD DU 20/11/1980. ART.43 REGLT DU 18/12/2020.;ART.R.436-86, ART.L.437-22 AL.1, ART.L.173-7 2° C.ENVIR.
