Numéro NATINF;Nature de l'infraction;Qualification de l'infraction;Définie par;Réprimée par
7;Délit;RETRAIT DE LA PROVISION D'UN CHEQUE AVEC L'INTENTION DE PORTER ATTEINTE AUX DROITS D'AUTRUI;ART.L.163-2 AL.1 C.M.F.;ART.L.163-2 AL.1, ART.L.163-6 AL.1, AL.2 C.M.F. ART.131-30 AL.1 C.PENAL.
8;Délit;OPPOSITION AU PAIEMENT D'UN CHEQUE AVEC L'INTENTION DE PORTER ATTEINTE AUX DROITS D'AUTRUI;ART.L.163-2 AL.1 C.M.F.;ART.L.163-2 AL.1, ART.L.163-6 AL.1, AL.2 C.M.F. ART.131-30 AL.1 C.PENAL.
11;Délit;ABANDON DE FAMILLE : NON PAIEMENT D'UNE PENSION OU D'UNE PRESTATION ALIMENTAIRE;ART.227-3 AL.1 C.PENAL.;ART.227-3 AL.1, ART.227-29 C.PENAL.
13;Délit;INFRACTION A UNE INTERDICTION DE SEJOUR : FREQUENTATION D'UN LIEU INTERDIT;ART.434-38 AL.1, ART.131-31 AL.1 C.PENAL.;ART.434-38 AL.1, ART.434-44 AL.4 C.PENAL.
16;Délit;AIDE A L'ENTREE, A LA CIRCULATION OU AU SEJOUR IRREGULIERS D'UN ETRANGER EN FRANCE;ART.L.823-1, ART.L.820-1 C.E.S.E.D.A.;ART.L.823-1 AL.1, ART.L.823-4, ART.L.823-6 C.E.S.E.D.A.
19;Contravention de classe 5;NON PAIEMENT D'UNE PENSION ALIMENTAIRE DUE AU CREANCIER, PAR LE TIERS DEBITEUR TENU AU PAIEMENT DIRECT;ART.R.213-5, ART.L.213-1 C.P.C.EX.;ART.R.213-5 C.P.C.EX.
23;Contravention de classe 5;VIOLENCE AYANT ENTRAINE UNE INCAPACITE DE TRAVAIL N'EXCEDANT PAS 8 JOURS;ART.R.625-1 AL.1 C.PENAL.;ART.R.625-1 AL.1,AL.2 C.PENAL.
25;Délit;BLESSURES ROUTIERES AVEC INCAPACITE N'EXCEDANT PAS 3 MOIS PAR CONDUCTEUR DE VEHICULE TERRESTRE A MOTEUR EN ETAT D'IVRESSE MANIFESTE;ART.221-20 AL.1 2° C.PENAL. ART.L.232-2 C.ROUTE.;ART.221-20 AL.1, ART.221-21, ART.131-30 AL.1 C.PENAL. ART.L.224-12 C.ROUTE.
26;Délit;BLESSURES ROUTIERES AVEC INCAPACITE SUPERIEURE A 3 MOIS PAR CONDUCTEUR DE VEHICULE TERRESTRE A MOTEUR EN ETAT D'IVRESSE MANIFESTE;ART.221-19 AL.1 2° C.PENAL. ART.L.232-2 C.ROUTE.;ART.221-19 AL.1, ART.221-21, ART.131-30 AL.1 C.PENAL. ART.L.224-12 C.ROUTE.
33;Délit;DENONCIATION CALOMNIEUSE;ART.226-10 AL.1 C.PENAL.;ART.226-10 AL.1, ART.226-31, ART.131-30 AL.1 C.PENAL.
34;Délit;BLESSURES ROUTIERES AVEC INCAPACITE SUPERIEURE A 3 MOIS PAR CONDUCTEUR D'UN VEHICULE TERRESTRE A MOTEUR ET DELIT DE FUITE;ART.221-19 AL.1 7° C.PENAL. ART.L.232-2 C.ROUTE.;ART.221-19 AL.1, ART.221-21, ART.131-30 AL.1 C.PENAL. ART.L.224-12 C.ROUTE.
35;Délit;HOMICIDE ROUTIER PAR CONDUCTEUR D'UN VEHICULE TERRESTRE A MOTEUR ET DELIT DE FUITE;ART.221-18 AL.1 7° C.PENAL. ART.L.232-1 C.ROUTE.;ART.221-18 AL.1, ART.221-21, ART.131-30 AL.1 C.PENAL. ART.L.224-12 C.ROUTE.
41;Délit;CONDUITE D'UN VEHICULE EN ETAT D'IVRESSE MANIFESTE;ART.L.234-1 §II,§V C.ROUTE.;ART.L.234-1, ART.L.234-2, ART.L.224-12 C.ROUTE. ART.131-30 AL.1 C.PENAL.
42;Délit;DELIT DE FUITE APRES UN ACCIDENT PAR CONDUCTEUR DE VEHICULE TERRESTRE;ART.434-10 AL.1 C.PENAL. ART.L.231-1 C.ROUTE.;ART.434-10 AL.1, ART.434-44 AL.4, ART.434-45, ART.131-30 AL.1 C.PENAL. ART.L.231-1, ART.L.231-2, ART.L.231-3, ART.L.224-12 C.ROUTE.
45;Délit;MISE EN CIRCULATION DE VEHICULE A MOTEUR OU REMORQUE MUNI DE PLAQUE OU D'INSCRIPTION INEXACTE;ART.L.317-4 §I C.ROUTE.;ART.L.317-4, ART.L.224-12 C.ROUTE. ART.131-30 AL.1 C.PENAL.
48;Délit;USAGE DE FAUSSE PLAQUE OU DE FAUSSE INSCRIPTION APPOSEE SUR UN VEHICULE A MOTEUR OU REMORQUE;ART.L.317-2 §I C.ROUTE.;ART.L.317-2, ART.L.224-12 C.ROUTE. ART.131-30 AL.1 C.PENAL.
49;Délit;FAUSSE DECLARATION SUR LE PROPRIETAIRE D'UN VEHICULE A MOTEUR CIRCULANT SANS PLAQUE OU INSCRIPTION OBLIGATOIRE SUR UNE VOIE OUVERTE A LA CIRCULATION PUBLIQUE;ART.L.317-3 §I C.ROUTE.;ART.L.317-3, ART.L.224-12 C.ROUTE. ART.131-30 AL.1 C.PENAL.
50;Délit;REFUS, PAR LE CONDUCTEUR D'UN VEHICULE, D'OBTEMPERER A UNE SOMMATION DE S'ARRETER;ART.L.233-1 §I C.ROUTE.;ART.L.233-1, ART.L.224-12 C.ROUTE.
51;Délit;REFUS, PAR LE CONDUCTEUR D'UN VEHICULE, DE SE SOUMETTRE AUX VERIFICATIONS TENDANT A ETABLIR L'ETAT ALCOOLIQUE;ART.L.234-8 §I, ART.L.234-4, ART.L.234-6, ART.L.234-9 C.ROUTE.;ART.L.234-8, ART.L.224-12 C.ROUTE.
58;Délit;ABUS DE CONFIANCE;ART.314-1 C.PENAL.;ART.314-1 AL.2, ART.314-10, ART.131-26-2, ART.131-30 AL.1 C.PENAL.
60;Délit;NON REPRESENTATION D'ENFANT A UNE PERSONNE AYANT LE DROIT DE LE RECLAMER;ART.227-5 C.PENAL.;ART.227-5, ART.227-29 C.PENAL.
61;Délit;EXHIBITION SEXUELLE;ART.222-32 AL.1,AL.2 C.PENAL.;ART.222-32 AL.1, ART.222-44, ART.222-45, ART.222-48-1 AL.1, ART.131-26-2 C.PENAL.
64;Délit;HOMICIDE ROUTIER PAR CONDUCTEUR DE VEHICULE TERRESTRE A MOTEUR SOUS L'EMPIRE D'UN ETAT ALCOOLIQUE;ART.221-18 AL.1 2° C.PENAL. ART.L.232-1, ART.L.234-1 §I, ART.R.234-1 AL.1 C.ROUTE.;ART.221-18 AL.21,ART.221-21, ART.131-30 AL.1 C.PENAL. ART.L.224-12 C.ROUTE.
69;Délit;FAUX : ALTERATION FRAUDULEUSE DE LA VERITE DANS UN ECRIT;ART.441-1 C.PENAL.;ART.441-1 AL.2, ART.441-10,ART.131-30 AL.1 C.PENAL.
70;Délit;USAGE DE FAUX EN ECRITURE;ART.441-1 C.PENAL.;ART.441-1 AL.2, ART.441-10, ART.131-30 AL.1 C.PENAL.
72;Délit;DETOURNEMENT OU DESTRUCTION PAR LE SAISI D'OBJET SAISI ET CONFIE A SA GARDE;ART.314-6 AL.1 C.PENAL.;ART.314-6 AL.1, ART.314-11, ART.131-30 AL.1 C.PENAL.
74;Délit;RECEL DU CADAVRE D'UNE PERSONNE VICTIME D'HOMICIDE OU DE VIOLENCES ENTRAINANT LA MORT SANS INTENTION DE LA DONNER;ART.434-7 C.PENAL.;ART.434-7, ART.434-44 AL.1,AL.4 C.PENAL.
76;Délit;FILOUTERIE DE CHAMBRE A LOUER;ART.313-5 AL.1 2° C.PENAL.;ART.313-5 AL.6,AL.7 C.PENAL.
77;Délit;FILOUTERIE DE CARBURANT OU DE LUBRIFIANT;ART.313-5 AL.1 3° C.PENAL.;ART.313-5 AL.6,AL.7 C.PENAL.
78;Délit;FILOUTERIE D'ALIMENT OU DE BOISSON;ART.313-5 AL.1 1° C.PENAL.;ART.313-5 AL.6,AL.7 C.PENAL.
79;Délit;FILOUTERIE DE TAXI OU DE VOITURE DE PLACE;ART.313-5 AL.1 4° C.PENAL.;ART.313-5 AL.6,AL.7 C.PENAL.
80;Délit;DEGRADATION OU DETERIORATION DE BIEN DESTINE A L'UTILITE OU LA DECORATION PUBLIQUE;ART.322-3 8°, ART.322-1 §I C.PENAL.;ART.322-3 AL.1, ART.322-15, ART.131-30 AL.1 C.PENAL.
87;Délit;DETENTION D'UN DEPOT D'ARMES OU DE MUNITIONS DES CATEGORIES A OU B;ART.222-53 AL.1 C.PENAL. ART.L.311-2 AL.1 1°, 2°, ART.R.311-1 §III 6°, ART.R.311-2 §I, §II C.S.I.;ART.222-53 AL.1, ART.222-62, ART.222-63, ART.222-65, ART.222-66, ART.131-30 AL.1 C.PENAL.
88;Délit;TRANSPORT SANS MOTIF LEGITIME D'ARME BLANCHE OU INCAPACITANTE DE CATEGORIE D;ART.L.317-8 AL.1 3°, ART.L.315-1 AL.1, ART.L.311-2 AL.1 4°, ART.R.315-1 3°, ART.R.311-1 §I 10°,14°,15°, §III 13°, ART.R.311-2 §IV A),B),C) C.S.I.;ART.L.317-8 3°, ART.L.317-12 C.S.I.
90;Délit;PORT SANS MOTIF LEGITIME D'ARME BLANCHE OU INCAPACITANTE DE CATEGORIE D;ART.L.317-8 AL.1 3°, ART.L.315-1 AL.1, ART.L.311-2 AL.1 4°, ART.R.315-1 3°, ART.R.311-1 §I 10°,14°,15°, §III 10°, ART.R.311-2 §IV A),B),C) C.S.I.;ART.L.317-8 3°, ART.L.317-12 C.S.I.
94;Délit;ESCROQUERIE AU LOGEMENT;ART.56 LOI 48-1360 DU 01/09/1948.;ART.56 LOI 48-1360 DU 01/09/1948. ART.131-30 AL.1 C.PENAL.
95;Délit;MAJORATION FRAUDULEUSE DU LOYER POUR UN LOCAL SOUMIS A LA LOI DU 01/09/1948;ART.51 AL.1, ART.1 LOI 48-1360 DU 01/09/1948.;ART.51 AL.1, AL.2, AL.3 LOI 48-1360 DU 01/09/1948.
96;Délit;DEMANDE D'UNE REPRISE INJUSTIFIEE POUR QUITTER UN LOCAL SOUMIS A LA LOI DU 01/09/1948;ART.52 LOI 48-1360 DU 01/09/1948.;ART.52, ART.51 LOI 48-1360 DU 01/09/1948.
97;Délit;OBTENTION DE COMMISSION INJUSTIFIEE POUR UNE LOCATION SOUMISE A LA LOI DU 01/09/1948;ART.53 LOI 48-1360 DU 01/09/1948.;ART.53, ART.51 LOI 48-1360 DU 01/09/1948.
98;Contravention de classe 5;DEPOT D'OBJET OU D'ORDURE TRANSPORTE A L'AIDE D'UN VEHICULE DANS UN LIEU NON AUTORISE;ART.R.635-8 AL.1 C.PENAL. ART.R.541-77 C.ENVIR. ART.L.121-2 C.ROUTE.;ART.R.635-8 AL.1,AL.2 C.PENAL.
100;Délit;OUTRAGE A MAGISTRAT OU JURE PAR GESTES OU MENACES A L'AUDIENCE;ART.434-24 C.PENAL.;ART.434-24 AL.2, ART.434-44 AL.4 C.PENAL.
101;Délit;OUTRAGE PAR PAROLE A L'AUDIENCE A MAGISTRAT OU JURE DANS L'EXERCICE DE SES FONCTIONS;ART.434-24 AL.1,AL.2 C.PENAL.;ART.434-24 AL.2, ART.434-44 AL.4 C.PENAL.
102;Délit;OUTRAGE PAR PAROLE, ECRIT, IMAGE A MAGISTRAT OU JURE DANS L'EXERCICE DE SES FONCTIONS;ART.434-24 AL.1 C.PENAL.;ART.434-24 AL.1, ART.434-44 AL.4 C.PENAL.
103;Délit;OUTRAGE PAR GESTE, MENACE, ENVOI D'OBJET A MAGISTRAT OU JURE DANS L'EXERCICE DE SES FONCTIONS;ART.434-24 AL.1 C.PENAL.;ART.434-24 AL.1, ART.434-44 AL.4 C.PENAL.
108;Délit;USURPATION DE TITRE, DIPLOME OU QUALITE;ART.433-17 AL.1 C.PENAL.;ART.433-17, ART.433-22 C.PENAL.
109;Délit;PORT ILLEGAL DE COSTUME, D'UNIFORME OU DE DECORATION;ART.433-14 1° C.PENAL.;ART.433-14 AL.1, ART.433-22 C.PENAL.
113;Délit;VIOLATION DE DOMICILE : INTRODUCTION DANS LE DOMICILE D'AUTRUI A L'AIDE DE MANOEUVRES, MENACE, VOIES DE FAIT OU CONTRAINTE;ART.226-4 AL.1, AL.3 C.PENAL.;ART.226-4 AL.1, ART.226-31, ART.131-30 AL.1 C.PENAL.
114;Délit;NON ASSISTANCE A PERSONNE EN DANGER;ART.223-6 AL.2 C.PENAL.;ART.223-6 AL.2,AL.1, ART.223-16, ART.131-30 AL.1 C.PENAL.
115;Délit;ABSTENTION VOLONTAIRE D'EMPECHER UN CRIME OU UN DELIT CONTRE L'INTEGRITE D'UNE PERSONNE;ART.223-6 AL.1 C.PENAL.;ART.223-6 AL.1, ART.223-16, ART.131-30 AL.1 C.PENAL.
117;Délit;ATTEINTE AU SECRET OU SUPPRESSION D'UNE CORRESPONDANCE ADRESSEE A UN TIERS;ART.226-15 AL.1 C.PENAL.;ART.226-15 AL.1, ART.226-31 C.PENAL.
118;Contravention de classe 5;ABANDON D'UNE EPAVE DE VEHICULE DANS UN LIEU NON AUTORISE;ART.R.635-8 AL.1 C.PENAL. ART.R.543-155 §I, ART.R.541-77 C.ENVIR. ART.L.121-2 C.ROUTE.;ART.R.635-8 AL.1,AL.2 C.PENAL.
120;Délit;VENTE FORCEE : ENVOI D'OBJET SANS COMMANDE PREALABLE DU DESTINATAIRE;ART.L.132-17 AL.1, ART.L.121-12 C.CONSOMMAT.;ART.L.132-17, ART.L.132-18 AL.1 C.CONSOMMAT.
121;Délit;REPRODUCTION D'UNE MARQUE SANS L'AUTORISATION DE SON PROPRIETAIRE - CONTREFACON;ART.L.716-10 C), ART.L.711-1, ART.L.712-1, ART.L.713-1, ART.L.713-2, ART.L.713-3 C.PROPR.INT.;ART.L.716-10 AL.1, ART.L.716-11-1 AL.1, ART.L.716-13 C.PROPR.INT.
122;Délit;IMITATION D'UNE MARQUE SANS L'AUTORISATION DE SON PROPRIETAIRE - CONTREFACON;ART.L.716-10 C), ART.L.711-1, ART.L.712-1, ART.L.713-1, ART.L.713-2, ART.L.713-3, ART.L.713-3-1 C.PROPR.INT.;ART.L.716-10 AL.1, ART.L.716-11-1 AL.1, ART.L.716-13 C.PROPR.INT.
123;Délit;USAGE D'UNE MARQUE IMITEE SANS L'AUTORISATION DE SON PROPRIETAIRE - CONTREFACON;ART.L.716-10 C), ART.L.711-1, ART.L.712-1, ART.L.713-1, ART.L.713-2, ART.L.713-3, ART.L.713-3-1 C.PROPR.INT.;ART.L.716-10 AL.1, ART.L.716-11-1 AL.1, ART.L.716-13 C.PROPR.INT.
125;Délit;SEVICES GRAVES OU ACTE DE CRUAUTE ENVERS UN ANIMAL DOMESTIQUE, APPRIVOISE OU CAPTIF;ART.521-1 AL.1 C.PENAL.;ART.521-1 AL.1,AL.6,AL.7, ART.131-30 AL.1 C.PENAL.
142;Délit;TENUE OU FINANCEMENT D'UN ETABLISSEMENT DE PROSTITUTION;ART.225-10 AL.1 1° C.PENAL.;ART.225-10 AL.1, ART.225-20, ART.225-22, ART.225-24, ART.225-25, ART.131-30 AL.1 C.PENAL.
143;Délit;TOLERANCE HABITUELLE DE LA PROSTITUTION DANS UN LIEU OUVERT AU PUBLIC;ART.225-10 AL.1 2° C.PENAL.;ART.225-10 AL.1, ART.225-20, ART.225-22, ART.225-24, ART.225-25, ART.131-30 AL.1 C.PENAL.
145;Délit;AIDE APPORTEE A UN PROXENETE DANS LA JUSTIFICATION DE RESSOURCES FICTIVES;ART.225-6 AL.1 2°, ART.225-5 C.PENAL.;ART.225-6 AL.1, ART.225-5 AL.5, ART.225-20, ART.225-24, ART.225-25, ART.131-30 AL.1 C.PENAL.
146;Délit;MISE DE LOCAL PRIVE A LA DISPOSITION D'UNE PERSONNE S'Y LIVRANT A LA PROSTITUTION;ART.225-10 AL.1 3° C.PENAL.;ART.225-10 AL.1, ART.225-20, ART.225-22, ART.225-24, ART.225-25, ART.131-30 AL.1 C.PENAL.
149;Délit;TROMPERIE SUR LA NATURE, LA QUALITE SUBSTANTIELLE, L'ORIGINE OU LA QUANTITE D'UNE MARCHANDISE;ART.L.454-1, ART.L.441-1 C.CONSOMMAT.;ART.L.454-1, ART.L.454-4, ART.L.454-5 AL.1, ART.L.454-7 C.CONSOMMAT. ART.131-30 AL.1 C.PENAL.
151;Délit;FALSIFICATION D'UNE ATTESTATION OU D'UN CERTIFICAT;ART.441-7 AL.1 2° C.PENAL.;ART.441-7 AL.1, ART.441-10 C.PENAL.
152;Délit;USAGE D'UNE ATTESTATION OU D'UN CERTIFICAT INEXACT;ART.441-7 AL.1 3° C.PENAL.;ART.441-7 AL.1, ART.441-10 C.PENAL.
153;Délit;ETABLISSEMENT D'UNE ATTESTATION OU D'UN CERTIFICAT INEXACT;ART.441-7 AL.1 1° C.PENAL.;ART.441-7 AL.1, ART.441-10 C.PENAL.
154;Délit;USAGE D'UNE ATTESTATION OU D'UN CERTIFICAT FALSIFIE;ART.441-7 AL.1 3° C.PENAL.;ART.441-7 AL.1, ART.441-10 C.PENAL.
159;Délit;FAUX DANS UN DOCUMENT ADMINISTRATIF CONSTATANT UN DROIT, UNE IDENTITE OU UNE QUALITE, OU ACCORDANT UNE AUTORISATION;ART.441-2 AL.1, ART.441-1 AL.1 C.PENAL.;ART.441-2 AL.1, ART.441-10, ART.131-26-2, ART.131-30 AL.1 C.PENAL.
161;Délit;PRISE DU NOM D'UN TIERS POUVANT DETERMINER DES POURSUITES PENALES CONTRE LUI;ART.434-23 AL.1 C.PENAL.;ART.434-23 AL.1, ART.434-44 AL.1,AL.4, ART.131-30 AL.1 C.PENAL.
162;Délit;NON NOTIFICATION DANS LE MOIS DU TRANSFERT DE DOMICILE AU CREANCIER D'UNE PENSION OU PRESTATION ALIMENTAIRE;ART.227-4 C.PENAL.;ART.227-4, ART.227-29 C.PENAL.
164;Délit;BRIS VOLONTAIRE OU DETOURNEMENT DE SCELLES;ART.434-22 C.PENAL.;ART.434-22, ART.434-44 AL.1,AL.4 C.PENAL.
173;Délit;VIOLATION DU SECRET PROFESSIONNEL;ART.226-13 C.PENAL.;ART.226-13, ART.226-31 C.PENAL.
175;Délit;EXERCICE ILLEGAL DE LA PROFESSION DE MEDECIN;ART.L.4161-5 AL.1, ART.L.4161-1, ART.L.4124-6 3°,4° C.SANTE.PUB.;ART.L.4161-5 AL.1, AL.3 C.SANTE.PUB.
176;Délit;EXERCICE ILLEGAL DE LA PROFESSION DE PHARMACIEN;ART.L.4223-1 AL.1, ART.L.4211-1,ART.L.4221-1,ART.L.4221-3, ART.L.4221-4, ART.L.4221-5, ART.L.4221-7 C.SANTE.PUB.;ART.L.4223-1 AL.1, AL.3 C.SANTE.PUB.
179;Délit;REFUS DE SE SOUMETTRE AUX VERIFICATIONS RELATIVES AU VEHICULE OU AU CONDUCTEUR;ART.L.233-2 §I C.ROUTE.;ART.L.233-2, ART.L.224-12 C.ROUTE.
180;Délit;USAGE ILLICITE DE STUPEFIANTS;ART.L.3421-1 AL.1, ART.L.5132-7 C.SANTE.PUB. ART.1 ARR.MINIST DU 22/02/1990.;ART.L.3421-1 AL.1, ART.L.3421-2, ART.L.3421-3, ART.L.3425-1 C.SANTE.PUB. ART.222-49 AL.1 C.PENAL.
182;Délit;PROVOCATION A L'USAGE DE SUBSTANCE PRESENTEE COMME DOUEE D'EFFET STUPEFIANT;ART.L.3421-4 AL.2,AL.4 C.SANTE.PUB.;ART.L.3421-4 AL.2, AL.1, AL.5 C.SANTE.PUB. ART.131-30 AL.1 C.PENAL.
183;Délit;AIDE A L'USAGE PAR AUTRUI DE STUPEFIANTS;ART.222-37 AL.2, ART.222-41 C.PENAL. ART.L.5132-7 C.SANTE.PUB. ART.1 ARR.MINIST DU 22/02/1990.;ART.222-37 AL.2,AL.1, ART.222-44, ART.222-44-2, ART.222-45, ART.222-47, ART.222-49, ART.222-50, ART.222-51, ART.131-30 AL.1, ART.131-30-3 C.PENAL.
184;Délit;VIOLATION DE SEPULTURE, TOMBEAU, URNE CINERAIRE OU MONUMENT EDIFIE A LA MEMOIRE DES MORTS;ART.225-17 AL.2 C.PENAL.;ART.225-17 AL.2 C.PENAL.
188;Délit;USAGE DE FAUSSE MONNAIE APRES EN AVOIR DECOUVERT LES VICES;ART.442-7, ART.442-1 AL.1 C.PENAL.;ART.442-7, ART.442-13 C.PENAL.
189;Délit;CORRUPTION PASSIVE : SOLLICITATION OU ACCEPTATION D'AVANTAGE PAR UNE PERSONNE N'EXERCANT PAS UNE FONCTION PUBLIQUE POUR ACCOMPLIR OU S'ABSTENIR D'ACCOMPLIR UN ACTE DE SA FONCTION OU DE SON ACTIVITE;ART.445-2 C.PENAL.;ART.445-2, ART.445-3, ART.131-26-2, ART.131-30 AL.1 C.PENAL.
193;Délit;PRATIQUE COMMERCIALE TROMPEUSE;ART.L.132-2 AL.1, ART.L.121-2, ART.L.121-3, ART.L.121-4, ART.L.121-5, ART.L.132-1 C.CONSOMMAT.;ART.L.132-2 AL.1, AL.2, ART.L.132-3 AL.1, AL.2, ART.L.132-4, ART.L.132-8 C.CONSOMMAT.
194;Délit;SUBORNATION DE TEMOIN;ART.434-15 C.PENAL.;ART.434-15, ART.434-44 AL.1,AL.4, ART.131-30 AL.1 C.PENAL.
195;Délit;SOUSTRACTION D'UN CRIMINEL A L'ARRESTATION OU AUX RECHERCHES;ART.434-6 C.PENAL.;ART.434-6, ART.434-44 AL.1,AL.4, ART.131-30 AL.1 C.PENAL.
200;Contravention de classe 1;ARRET OU STATIONNEMENT GENANT D'ANIMAL SUR LA VOIE PUBLIQUE;ART.R.412-49 AL.1 C.ROUTE.;ART.R.412-49 AL.1 C.ROUTE.
201;Contravention de classe 4;ARRET OU STATIONNEMENT DANGEREUX DE VEHICULE;ART.R.417-9 AL.1,AL.2 C.ROUTE.;ART.R.417-9 AL.3,AL.5 C.ROUTE.
202;Contravention de classe 4;REFUS DE PRIORITE PAR CONDUCTEUR DE VEHICULE A UN PIETON REGULIEREMENT ENGAGE DANS LA TRAVERSEE D'UNE CHAUSSEE;ART.R.415-11 AL.1, ART.R.412-37, ART.R.412-38, ART.R.412-39, ART.R.412-40 C.ROUTE.;ART.R.415-11 AL.2,AL.3 C.ROUTE.
203;Contravention de classe 4;"INOBSERVATION, PAR CONDUCTEUR, DE L'ARRET IMPOSE PAR LE PANNEAU ""STOP"" A UNE INTERSECTION DE ROUTES";ART.R.415-6 AL.1, ART.R.411-25 AL.1,AL.3 C.ROUTE.;ART.R.415-6 AL.2,AL.3 C.ROUTE.
207;Contravention de classe 4;REFUS DE PRIORITE A DROITE A UNE INTERSECTION DE ROUTES;ART.R.415-5 AL.1, ART.R.415-13, ART.R.415-14 C.ROUTE.;ART.R.415-5 AL.2,AL.3 C.ROUTE.
210;Contravention de classe 4;INOBSERVATION, PAR CONDUCTEUR DE VEHICULE, DE L'ARRET IMPOSE PAR UN FEU ROUGE;ART.R.412-30 AL.1,AL.2, AL.4 C.ROUTE.;ART.R.412-30 AL.5,AL.6 C.ROUTE.
213;Contravention de classe 4;CONDUITE D'UN VEHICULE A UNE VITESSE EXCESSIVE EU EGARD AUX CIRCONSTANCES;ART.R.413-17 C.ROUTE.;ART.R.413-17 §IV C.ROUTE.
215;Contravention de classe 2;CIRCULATION D'ANIMAL ELOIGNE DU BORD DROIT DE LA CHAUSSEE EN MARCHE NORMALE;ART.R.412-45 C.ROUTE.;ART.R.412-45 AL.2 C.ROUTE.
217;Contravention de classe 2;CHANGEMENT DE DIRECTION D'UN VEHICULE EFFECTUE SANS AVERTISSEMENT PREALABLE;ART.R.412-10 AL.1 C.ROUTE.;ART.R.412-10 AL.2,AL.3 C.ROUTE.
219;Contravention de classe 1;OUVERTURE D'UNE PORTIERE DE VEHICULE DANS DES CONDITIONS DANGEREUSES;ART.R.417-7 C.ROUTE.;ART.R.417-7 AL.2 C.ROUTE.
221;Contravention de classe 4;REFUS DE PRIORITE PAR CONDUCTEUR DE VEHICULE VENANT D'UNE VOIE NON OUVERTE A LA CIRCULATION PUBLIQUE OU D'UNE AIRE DE STATIONNEMENT;ART.R.415-9 §I, §II C.ROUTE.;ART.R.415-9 §III, §IV C.ROUTE.
222;Délit;BLESSURES INVOLONTAIRES AVEC INCAPACITE SUPERIEURE A 3 MOIS PAR CONDUCTEUR DE VEHICULE TERRESTRE A MOTEUR;ART.222-19-1 AL.1, ART.222-19 AL.1 C.PENAL. ART.L.232-2 C.ROUTE.;ART.222-19-1 AL.1, ART.222-44, ART.222-46, ART.131-30 AL.1 C.PENAL. ART.L.224-12 C.ROUTE.
223;Délit;BLESSURES INVOLONTAIRES AVEC INCAPACITE N'EXCEDANT PAS 3 MOIS PAR CONDUCTEUR DE VEHICULE TERRESTRE A MOTEUR;ART.222-20-1 AL.1, ART.222-19 AL.1 C.PENAL. ART.L.232-2 C.ROUTE.;ART.222-20-1 AL.1, ART.222-44, ART.222-46 C.PENAL. ART.L.224-12 C.ROUTE.
224;Délit;HOMICIDE INVOLONTAIRE PAR CONDUCTEUR DE VEHICULE TERRESTRE A MOTEUR;ART.221-6-1 AL.1, ART.221-6 AL.1 C.PENAL. ART.L.232-1 C.ROUTE.;ART.221-6-1 AL.1, ART.221-8, ART.221-10, ART.131-30 AL.1 C.PENAL. ART.L.224-12 C.ROUTE.
225;Contravention de classe 2;DIVAGATION D'ANIMAL DANGEREUX;ART.R.622-2 AL.1 C.PENAL.;ART.R.622-2 AL.1,AL.2 C.PENAL.
227;Contravention de classe 4;VIOLENCE N'AYANT ENTRAINE AUCUNE INCAPACITE DE TRAVAIL;ART.R.624-1 AL.1 C.PENAL.;ART.R.624-1 AL.1,AL.2 C.PENAL.
237;Contravention de classe 4;TRANSPORT INTERDIT D'ENFANT DE MOINS DE 10 ANS A LA PLACE AVANT D'UN VEHICULE A MOTEUR;ART.R.412-3 C.ROUTE.;ART.R.412-3 §II C.ROUTE.
238;Contravention de classe 2;CIRCULATION DE JOUR D'UNE MOTOCYCLETTE SANS FEU DE CROISEMENT OU DE CIRCULATION DIURNE ALLUME;ART.R.416-17 C.ROUTE.;ART.R.416-17 AL.3 C.ROUTE.
242;Délit;PUBLICITE ILLEGALE POUR UNE BOISSON ALCOOLIQUE;ART.L.3351-7 AL.1, ART.L.3323-2, ART.L.3323-3, ART.L.3323-4 C.SANTE.PUB.;ART.L.3351-7 AL.1, AL.4, ART.L.3355-4, ART.L.3355-6 AL.1 C.SANTE.PUB.
243;Délit;DISTRIBUTION A UN MINEUR DE SUPPORT PUBLICITAIRE NOMMANT UNE BOISSON ALCOOLIQUE;ART.L.3351-7 AL.1, ART.L.3323-5 C.SANTE.PUB.;ART.L.3351-7 AL.1, AL.4, ART.L.3355-4, ART.L.3355-6 AL.1 C.SANTE.PUB.
245;Délit;CHANGEMENT DE PROPRIETAIRE OU DE GERANT OU TRANSLATION D'UN LIEU A UN AUTRE D'UN DEBIT DE BOISSONS A CONSOMMER SUR PLACE SANS DECLARATION PREALABLE CONFORME;ART.L.3352-4, ART.L.3332-4, ART.L.3332-3 AL.1, AL.2 C.SANTE.PUB.;ART.L.3352-4, ART.L.3355-4, ART.L.3355-6 AL.1 C.SANTE.PUB.
246;Délit;OUVERTURE SANS DECLARATION PREALABLE CONFORME D'UN CAFE, CABARET OU DEBIT DE BOISSONS A CONSOMMER SUR PLACE;ART.L.3352-3 1°, ART.L.3332-3, ART.L.3332-6, ART.L.3331-4 AL.1 C.SANTE.PUB.;ART.L.3352-3 AL.1, ART.L.3355-4, ART.L.3355-6 AL.1 C.SANTE.PUB.
