INSEE_COM,C,5;NOM_COM,C,50;long_centr,N,11,7;lat_centro,N,11,7;INSEE_DEP,C,3;commune_ac,N,1,0;date_mod2,C,24;fid,N,20,0;id,C,254;nom_m,C,254;nom,C,254;insee_dep_,C,254;insee_reg,C,254
21200;Couchey;4,9618906;47,2617031;21;1;2018/01/01 00:00:00.000;1;DEPARTEM_FXX_00000000022;COTE-D'OR;Côte-d'Or;21;27
21261;Fauverney;5,150129;47,2628731;21;1;2018/01/01 00:00:00.000;1;DEPARTEM_FXX_00000000022;COTE-D'OR;Côte-d'Or;21;27
21178;Valforêt;4,8667859;47,2457609;21;1;2020/05/01 00:00:00.000;1;DEPARTEM_FXX_00000000022;COTE-D'OR;Côte-d'Or;21;27
21457;Noidan;4,4094635;47,3463517;21;1;2018/01/01 00:00:00.000;1;DEPARTEM_FXX_00000000022;COTE-D'OR;Côte-d'Or;21;27
21210;Créancey;4,59369;47,2524953;21;1;2018/01/01 00:00:00.000;1;DEPARTEM_FXX_00000000022;COTE-D'OR;Côte-d'Or;21;27
21637;Tichey;5,288487;47,0124697;21;1;2018/01/01 00:00:00.000;1;DEPARTEM_FXX_00000000022;COTE-D'OR;Côte-d'Or;21;27
21310;Grosbois-en-Montagne;4,5997018;47,3198698;21;1;2018/01/01 00:00:00.000;1;DEPARTEM_FXX_00000000022;COTE-D'OR;Côte-d'Or;21;27
21010;Aloxe-Corton;4,8615695;47,068008;21;1;2018/01/01 00:00:00.000;1;DEPARTEM_FXX_00000000022;COTE-D'OR;Côte-d'Or;21;27
21570;Sainte-Sabine;4,6212069;47,1873398;21;1;2018/01/01 00:00:00.000;1;DEPARTEM_FXX_00000000022;COTE-D'OR;Côte-d'Or;21;27
71104;Charnay-lès-Chalon;5,084036;46,9343872;71;1;2018/01/01 00:00:00.000;1;DEPARTEM_FXX_00000000022;COTE-D'OR;Côte-d'Or;21;27
21080;Blaisy-Bas;4,735379;47,3694292;21;1;2018/01/01 00:00:00.000;1;DEPARTEM_FXX_00000000022;COTE-D'OR;Côte-d'Or;21;27
21409;Meuilley;4,8788025;47,1412022;21;1;2018/01/01 00:00:00.000;1;DEPARTEM_FXX_00000000022;COTE-D'OR;Côte-d'Or;21;27
21352;Longeault-Pluvault;5,2468105;47,211204;21;1;2020/05/01 00:00:00.000;1;DEPARTEM_FXX_00000000022;COTE-D'OR;Côte-d'Or;21;27
21623;Tart;5,2140993;47,1926567;21;1;2020/05/01 00:00:00.000;1;DEPARTEM_FXX_00000000022;COTE-D'OR;Côte-d'Or;21;27
21038;Auxonne;5,4143419;47,1887691;21;1;2018/01/01 00:00:00.000;1;DEPARTEM_FXX_00000000022;COTE-D'OR;Côte-d'Or;21;27
21079;Blagny-sur-Vingeanne;5,355635;47,4392482;21;1;2018/01/01 00:00:00.000;1;DEPARTEM_FXX_00000000022;COTE-D'OR;Côte-d'Or;21;27
21487;Pluvet;5,2635701;47,1985865;21;1;2018/01/01 00:00:00.000;1;DEPARTEM_FXX_00000000022;COTE-D'OR;Côte-d'Or;21;27
21609;Soirans;5,2984658;47,2102694;21;1;2018/01/01 00:00:00.000;1;DEPARTEM_FXX_00000000022;COTE-D'OR;Côte-d'Or;21;27
21018;Arcey;4,824542;47,2746525;21;1;2018/01/01 00:00:00.000;1;DEPARTEM_FXX_00000000022;COTE-D'OR;Côte-d'Or;21;27
21650;Urcy;4,8467538;47,2643484;21;1;2018/01/01 00:00:00.000;1;DEPARTEM_FXX_00000000022;COTE-D'OR;Côte-d'Or;21;27
21293;Gergueil;4,8124621;47,2378414;21;1;2018/01/01 00:00:00.000;1;DEPARTEM_FXX_00000000022;COTE-D'OR;Côte-d'Or;21;27
21267;Flagey-Echézeaux;4,9827652;47,159224;21;1;2018/01/01 00:00:00.000;1;DEPARTEM_FXX_00000000022;COTE-D'OR;Côte-d'Or;21;27
21553;Saint-Jean-de-Bœuf;4,7634963;47,2114909;21;1;2018/01/01 00:00:00.000;1;DEPARTEM_FXX_00000000022;COTE-D'OR;Côte-d'Or;21;27
21162;Chaux;4,9078187;47,1274851;21;1;2018/01/01 00:00:00.000;1;DEPARTEM_FXX_00000000022;COTE-D'OR;Côte-d'Or;21;27
21278;Fontaine-lès-Dijon;5,02468;47,3475005;21;1;2018/01/01 00:00:00.000;1;DEPARTEM_FXX_00000000022;COTE-D'OR;Côte-d'Or;21;27
21355;Longvic;5,0529533;47,2855553;21;1;2018/01/01 00:00:00.000;1;DEPARTEM_FXX_00000000022;COTE-D'OR;Côte-d'Or;21;27
21180;Cléry;5,5012392;47,295734;21;1;2018/01/01 00:00:00.000;1;DEPARTEM_FXX_00000000022;COTE-D'OR;Côte-d'Or;21;27
21542;Saint-Bernard;5,0235292;47,1596197;21;1;2018/01/01 00:00:00.000;1;DEPARTEM_FXX_00000000022;COTE-D'OR;Côte-d'Or;21;27
58125;Gien-sur-Cure;4,0900966;47,1456906;58;1;2018/01/01 00:00:00.000;1;DEPARTEM_FXX_00000000022;COTE-D'OR;Côte-d'Or;21;27
71073;Chagny;4,7749915;46,8987149;71;1;2018/01/01 00:00:00.000;1;DEPARTEM_FXX_00000000022;COTE-D'OR;Côte-d'Or;21;27
89004;Aisy-sur-Armançon;4,2092417;47,6570162;89;1;2018/01/01 00:00:00.000;1;DEPARTEM_FXX_00000000022;COTE-D'OR;Côte-d'Or;21;27
21056;Beire-le-Châtel;5,2135789;47,4179855;21;1;2018/01/01 00:00:00.000;1;DEPARTEM_FXX_00000000022;COTE-D'OR;Côte-d'Or;21;27
21215;Cuiserey;5,3175618;47,3706576;21;1;2018/01/01 00:00:00.000;1;DEPARTEM_FXX_00000000022;COTE-D'OR;Côte-d'Or;21;27
21399;Meilly-sur-Rouvres;4,5523377;47,2053299;21;1;2018/01/01 00:00:00.000;1;DEPARTEM_FXX_00000000022;COTE-D'OR;Côte-d'Or;21;27
21023;Arnay-le-Duc;4,4796789;47,1274205;21;1;2018/01/01 00:00:00.000;1;DEPARTEM_FXX_00000000022;COTE-D'OR;Côte-d'Or;21;27
21704;Villiers-le-Duc;4,7035669;47,7924754;21;1;2018/01/01 00:00:00.000;1;DEPARTEM_FXX_00000000022;COTE-D'OR;Côte-d'Or;21;27
21374;Maligny;4,5059071;47,0842384;21;1;2018/01/01 00:00:00.000;1;DEPARTEM_FXX_00000000022;COTE-D'OR;Côte-d'Or;21;27
71578;Clux-Villeneuve;5,1839914;46,9581982;71;1;2018/01/01 00:00:00.000;1;DEPARTEM_FXX_00000000022;COTE-D'OR;Côte-d'Or;21;27
21209;Couternon;5,1505001;47,330229;21;1;2018/01/01 00:00:00.000;1;DEPARTEM_FXX_00000000022;COTE-D'OR;Côte-d'Or;21;27
39096;Champagney;5,5044443;47,2600972;39;1;2018/01/01 00:00:00.000;1;DEPARTEM_FXX_00000000022;COTE-D'OR;Côte-d'Or;21;27
21699;Villers-les-Pots;5,3467049;47,2108015;21;1;2018/01/01 00:00:00.000;1;DEPARTEM_FXX_00000000022;COTE-D'OR;Côte-d'Or;21;27
21392;Martrois;4,5474724;47,306769;21;1;2018/01/01 00:00:00.000;1;DEPARTEM_FXX_00000000022;COTE-D'OR;Côte-d'Or;21;27
21397;Mavilly-Mandelot;4,7307764;47,0609632;21;1;2018/01/01 00:00:00.000;1;DEPARTEM_FXX_00000000022;COTE-D'OR;Côte-d'Or;21;27
21051;Baulme-la-Roche;4,79373;47,3477334;21;1;2018/01/01 00:00:00.000;1;DEPARTEM_FXX_00000000022;COTE-D'OR;Côte-d'Or;21;27
21002;Agey;4,7628073;47,2872873;21;1;2018/01/01 00:00:00.000;1;DEPARTEM_FXX_00000000022;COTE-D'OR;Côte-d'Or;21;27
71188;Épertully;4,6004308;46,9446141;71;1;2018/01/01 00:00:00.000;1;DEPARTEM_FXX_00000000022;COTE-D'OR;Côte-d'Or;21;27
21256;Étevaux;5,3220568;47,3230055;21;1;2018/01/01 00:00:00.000;1;DEPARTEM_FXX_00000000022;COTE-D'OR;Côte-d'Or;21;27
21314;Hauteroche;4,569871;47,4890196;21;1;2018/01/01 00:00:00.000;1;DEPARTEM_FXX_00000000022;COTE-D'OR;Côte-d'Or;21;27
21701;Villers-Rotin;5,4072941;47,1568366;21;1;2018/01/01 00:00:00.000;1;DEPARTEM_FXX_00000000022;COTE-D'OR;Côte-d'Or;21;27
21048;Barges;5,059599;47,2093019;21;1;2018/01/01 00:00:00.000;1;DEPARTEM_FXX_00000000022;COTE-D'OR;Côte-d'Or;21;27
21461;Nolay;4,6198422;46,9590884;21;1;2018/01/01 00:00:00.000;1;DEPARTEM_FXX_00000000022;COTE-D'OR;Côte-d'Or;21;27
21375;Manlay;4,333083;47,1206383;21;1;2018/01/01 00:00:00.000;1;DEPARTEM_FXX_00000000022;COTE-D'OR;Côte-d'Or;21;27
21254;L'Étang-Vergy;4,876032;47,1828375;21;1;2018/01/01 00:00:00.000;1;DEPARTEM_FXX_00000000022;COTE-D'OR;Côte-d'Or;21;27
21184;Colombier;4,6744149;47,1685533;21;1;2018/01/01 00:00:00.000;1;DEPARTEM_FXX_00000000022;COTE-D'OR;Côte-d'Or;21;27
21121;Bussy-la-Pesle;4,7137392;47,3563085;21;1;2018/01/01 00:00:00.000;1;DEPARTEM_FXX_00000000022;COTE-D'OR;Côte-d'Or;21;27
21116;Bure-les-Templiers;4,9109963;47,732686;21;1;2018/01/01 00:00:00.000;1;DEPARTEM_FXX_00000000022;COTE-D'OR;Côte-d'Or;21;27
21150;Chassagne-Montrachet;4,7274854;46,9327112;21;1;2018/01/01 00:00:00.000;1;DEPARTEM_FXX_00000000022;COTE-D'OR;Côte-d'Or;21;27
21196;Corpeau;4,759967;46,9271856;21;1;2018/01/01 00:00:00.000;1;DEPARTEM_FXX_00000000022;COTE-D'OR;Côte-d'Or;21;27
21541;Saint-Aubin;4,7108773;46,9505139;21;1;2018/01/01 00:00:00.000;1;DEPARTEM_FXX_00000000022;COTE-D'OR;Côte-d'Or;21;27
21223;Daix;4,9691385;47,3604753;21;1;2018/01/01 00:00:00.000;1;DEPARTEM_FXX_00000000022;COTE-D'OR;Côte-d'Or;21;27
21439;Montoillot;4,6579379;47,2722608;21;1;2018/01/01 00:00:00.000;1;DEPARTEM_FXX_00000000022;COTE-D'OR;Côte-d'Or;21;27
21645;Trouhans;5,2709955;47,1525549;21;1;2018/01/01 00:00:00.000;1;DEPARTEM_FXX_00000000022;COTE-D'OR;Côte-d'Or;21;27
21362;Maconge;4,5770893;47,2255732;21;1;2018/01/01 00:00:00.000;1;DEPARTEM_FXX_00000000022;COTE-D'OR;Côte-d'Or;21;27
