INSEE_COM,C,5;NOM_COM,C,50;long_centr,N,11,7;lat_centro,N,11,7;INSEE_DEP,C,3;commune_ac,N,1,0;date_mod2,C,24
48053;Cubières;3,7868614;44,4757448;48;1;2018/01/01 00:00:00.000
74275;Talloires-Montmin;6,244968;45,8228512;74;1;2018/01/01 00:00:00.000
08067;Blagny;5,1981368;49,6233107;08;1;2018/01/01 00:00:00.000
2B298;Saint-Florent;9,3254894;42,6874092;2B;1;2018/01/01 00:00:00.000
95611;Theuville;2,0693559;49,1564516;95;1;2018/01/01 00:00:00.000
79104;Cours;-0,4146622;46,5028555;79;1;2018/01/01 00:00:00.000
67436;Saulxures;7,1236584;48,3928599;67;1;2018/01/01 00:00:00.000
14514;Pont-l'Évêque;0,1850758;49,2891584;14;1;2018/01/01 00:00:00.000
95280;Goussainville;2,4660825;49,0245881;95;1;2018/01/01 00:00:00.000
52465;Saulxures;5,5789497;47,9554049;52;1;2018/01/01 00:00:00.000
88236;La Haye;6,2057495;48,0622394;88;1;2018/01/01 00:00:00.000
83143;Le Val;6,0515752;43,4457008;83;1;2018/01/01 00:00:00.000
80625;Trois-Rivières;2,5434948;49,7176091;80;1;2020/05/01 00:00:00.000
79298;Saint-Symphorien;-0,4792519;46,267476;79;1;2018/01/01 00:00:00.000
76352;La Haye;1,4472483;49,4611011;76;1;2018/01/01 00:00:00.000
76303;Gommerville;0,3599565;49,5525646;76;1;2018/01/01 00:00:00.000
72321;Saint-Symphorien;-0,1400855;48,0783126;72;1;2018/01/01 00:00:00.000
71024;Baugy;4,0325279;46,3075683;71;1;2018/01/01 00:00:00.000
63031;Beaulieu;3,2865784;45,4434312;63;1;2018/01/01 00:00:00.000
61034;Beaulieu;0,7363773;48,6802677;61;1;2018/01/01 00:00:00.000
24499;Saint-Sauveur;0,5833951;44,8735709;24;1;2018/01/01 00:00:00.000
60588;Saint-Maur;1,922035;49,6166636;60;1;2018/01/01 00:00:00.000
60506;Pont-l'Évêque;2,9859756;49,5634377;60;1;2018/01/01 00:00:00.000
60104;Breteuil;2,292017;49,6341135;60;1;2018/01/01 00:00:00.000
58026;Beaulieu;3,5351478;47,2585742;58;1;2018/01/01 00:00:00.000
52163;Dampierre;5,4006046;47,9581307;52;1;2018/01/01 00:00:00.000
84011;Le Beaucet;5,1307958;43,9747709;84;1;2018/01/01 00:00:00.000
46106;Floirac;1,6716424;44,9058155;46;1;2018/01/01 00:00:00.000
45307;La Selle-sur-le-Bied;2,896299;48,0735703;45;1;2018/01/01 00:00:00.000
45277;Saint-Florent;2,452907;47,6850387;45;1;2018/01/01 00:00:00.000
36202;Saint-Maur;1,6235729;46,804179;36;1;2018/01/01 00:00:00.000
35317;Saint-Symphorien;-1,8031487;48,2802697;35;1;2018/01/01 00:00:00.000
33167;Floirac;-0,5208512;44,833931;33;1;2018/01/01 00:00:00.000
25460;Le Val;5,9067865;47,0630514;25;1;2018/01/01 00:00:00.000
22267;Rouillac;-2,3691066;48,306579;22;1;2018/01/01 00:00:00.000
28185;Goussainville;1,5602132;48,7801662;28;1;2018/01/01 00:00:00.000
27112;Breteuil;0,8926108;48,8264776;27;1;2018/01/01 00:00:00.000
21452;Neuilly-Crimolois;5,1127274;47,2735355;21;1;2020/05/01 00:00:00.000
18023;Baugy;2,7435839;47,0538454;18;1;2018/01/01 00:00:00.000
21183;Collonges-et-Premières;5,2919978;47,2286389;21;1;2020/05/01 00:00:00.000
16286;Rouillac;-0,0748092;45,7938837;16;1;2018/01/01 00:00:00.000
14666;Sannerville;-0,2241356;49,1836269;14;1;2020/05/01 00:00:00.000
16239;Mouzon;0,6107581;45,7957879;16;1;2018/01/01 00:00:00.000
08311;Mouzon;5,0739476;49,5970002;08;1;2018/01/01 00:00:00.000
31286;Lavelanet-de-Comminges;1,1153141;43,2526302;31;1;2018/01/01 00:00:00.000
77063;La Celle-sur-Morin;2,9718114;48,7970092;77;1;2018/01/01 00:00:00.000
77141;Coutevroult;2,8475783;48,8530139;77;1;2018/01/01 00:00:00.000
77413;Saint-Germain-sur-Morin;2,8412199;48,8751618;77;1;2018/01/01 00:00:00.000
23095;Le Grand-Bourg;1,655819;46,1600057;23;1;2018/01/01 00:00:00.000
23117;Maison-Feyne;1,6703442;46,3473692;23;1;2018/01/01 00:00:00.000
23075;Dun-le-Palestel;1,6621137;46,3037619;23;1;2018/01/01 00:00:00.000
23263;Villard;1,6993668;46,3294209;23;1;2018/01/01 00:00:00.000
77270;Maisoncelles-en-Brie;2,9933532;48,8590597;77;1;2018/01/01 00:00:00.000
77224;Hautefeuille;2,9630936;48,7666501;77;1;2018/01/01 00:00:00.000
11395;Trassanel;2,4426552;43,3488187;11;1;2018/01/01 00:00:00.000
77484;Vaucourtois;2,9575678;48,8988653;77;1;2018/01/01 00:00:00.000
77125;Condé-Sainte-Libiaire;2,8363177;48,8985209;77;1;2018/01/01 00:00:00.000
90029;Cravanche;6,8264876;47,6521556;90;1;2018/01/01 00:00:00.000
