type_action
Quantités/Quotas (Embarquée – plaisance)
Tailles/poids minimaux (Embarquée – plaisance)
"Lutte contre les atteintes directes à la flore protégée (herbiers...) : arrachage, cueillette, trafics d’espèces à enjeux..."
"Respect des prescriptions sur site (périmètre autorisé dans l’AOT, nombre maximal de mouillages, types de mouillage…)"
Zones (Embarquée – plaisance)
[2023] Autres actions de police de la chasse hors SNC 
"Contrôle des chantiers de travaux en cours d'eau - travaux, ouvrages illégaux et contrôle autorisation environnementale (action 6.1 et 6.3 de la SNC)"
Contrôle des travaux réalisés (hors SNC)
[2023] Protection des milieux forestiers (dont lutte contre les incendies)
[2023] Contrôles relatifs à la sécurité à la chasse (action 3.5 de la SNC)
[2023] Ouvrages de prélèvements autres (hors SNC)
Contrôle des chantiers de travaux en cours d'eau (hors SNC)
[2023] Contrôle de la circulation des VTM (hors espaces protégés)
Travaux en zones humides en phase chantier (hors SNC)
"Pollutions sur signalement, plainte ou flagrance (ponctuelles ou chroniques) (action 6.2 de la SNC)"
[2023] Inactif - Ouvrages de prélèvements
"[2023] Obstacles à la continuité - Travaux, ouvrages illégaux et contrôle autorisation environnementale (action 6.1 et 6.3 de la SNC)"
"[2023] Créations de plan d'eau - Travaux, ouvrages illégaux et contrôle autorisation environnementale (action 6.1 et 6.3 de la SNC)"
"[2023] Travaux, ouvrages illégaux et ouvrages de prélèvements dans les ZRE et zones en tension définies dans les SDAGE (action 2.2 et 6.3 de la SNC)"
"[2023] Contrôles ciblés : Période de reproduction d’espèces sensibles, TAC, braconnage des espèces non migratrices (hors SNC)"
ICPE avec rejets aqueux
Remblais en lit majeur (action 6.1 et 6.3 de la SNC)
Zones non traitées autres (hors SNC)
"[2023] Flore - Contrôle des dérogations relatives aux atteintes aux habitats d'espèces protégées (séquence éviter, réduire, compenser) relevant de l’action 3.2. de la SNC"
[2023] Plans d'eau existants (conformité réglementaire et technique - hors SNC)
Zones non traitées sur les aires d’alimentation des 1000 captages prioritaires et masses d’eau déclassés sur les paramètres pesticides (action 1.4. de la SNC)
[2024] Assurer la continuité écologique des cours d'eau (SNC 5.2)
[2024] Contrôles gestion quantitative sur IOTA (hors AUP) (SNC 3.1)
Exploitations en zones vulnérables – contrôle des prescriptions du programmes d’actions national et régional (action 1.3. de la SNC)
Exploitations en zones vulnérables autres (hors SNC)
[2023] Sites inscrits et classés relevant de l’action 5.2. de la SNC
[2023] Arrêté de protection de site géologique - usages ayant un fort impact sur l'objectif de protection (action 3.3 de la SNC)
"Autres espaces protégés (RCFS, RNCFS, etc.)"
[2023] Réglementation réserves naturelles - usages ayant un fort impact sur l'objectif de protection (action 3.3 de la SNC)
Activités humaines réglementées dans les espaces ordinaires (déchets dans le milieu naturel au titre du code pénal)
"Contrôle des travaux réalisés - travaux, ouvrages illégaux et contrôle autorisation environnementale (action 6.1 et 6.3 de la SNC)"
"[2023] Lutte contre les atteintes directes à la flore protégées : arrachage, cueillette, trafics d’espèces à enjeux… relevant des actions 3.2. et 3.6. de la SNC"
"Systèmes d’assainissement  - action 1.1, 6.1 et 6.3. de la SNC"
"[2023] Faune - Contrôle de la détention et du commerce des espèces non domestiques réglementées (protégées, invasives, réglementées) relevant des actions 3.1., 3.6. et 3.8. de la SNC"
[2023] Lutte contre le braconnage des espèces migratrices (hors anguille) (action 3.7. de la SNC)
[2023] Arrêté de protection de biotope - usages ayant un fort impact sur l'objectif de protection  (action 3.3 de la SNC)
"[2023] Lutte contre les atteintes directes à la flore protégées : arrachage, cueillette, trafics d’espèces à enjeux… autres (hors SNC)"
[2023] Zones d'alerte « sécheresse » (action 2.1 de la SNC)
[2023] Réglementation parc national - usages ayant un fort impact sur l'objectif de protection (action 3.3 de la SNC)
Contrôle des travaux d'urgence ( art R214-44 du CE)
"[2023] Faune - Contrôle des dérogations relatives aux atteintes aux habitats d'espèces protégées (séquence éviter, réduire, compenser) relevant de l’action 3.2. de la SNC"
"[2023] Respect des quotas collectifs et des procédures de déclaration et de collecte liées aux prélèvements des espèces chassables soumises à quota, à PMA, à gestion adaptative (action 3.5 SNC)"
"[2023] Publicité, enseigne, pré-enseigne (action 5.1 de la SNC)"
"Autorisations de travaux en zones humides à l'issue des travaux - Travaux, ouvrages illégaux et contrôle autorisation environnementale (action 6.1 et 6.3 de la SNC)"
[2023] Obstacles à la continuité (hors SNC)
