theme
Pêche de plaisance embarquée
Flore protégée ou réglementée (PSCEM)
Police des mouillages
[2023] Police de la chasse et lutte contre le braconnage des espèces chassables
Travaux en cours d'eau
[2023] Forêt
[2023] Prélèvement d'eau
[2023] Circulation des engins motorisés dans les espaces naturels
Travaux en zones humides
Pollutions accidentelles
[2023] Continuité écologique
[2023] Plans d'eau - vidanges
[2023] Police de la pêche en eau douce et lutte contre le braconnage des espèces piscicoles
Lutte contre les pollutions industrielles
Lutte contre la pollution par les pesticides
[2023] Flore protégée ou réglementée
[2024] Continuité écologique des cours d'eau (SNC 5.2)
[2024] Ouvrages et autorisations de prélèvement (SNC 3.1)
Lutte contre les pollutions par les nitrates
[2023] Espaces protégés et sensibles
Hors thème
Lutter contre les pollutions urbaines
[2023] Faune protégée ou réglementée
[2023] Contrôle d'activités humaines réglementées
[2023] Évaluation des incidences au titre de Natura 2000
Divers
[2023] Anguille : contrôle des prélèvements et lutte contre les trafics de l'anguille
Pêche de plaisance du bord
Réglementation sanitaire
Pêche à pied de plaisance
[2023] Travaux en milieu marin
Eau potable
Domanialité publique dont circulation
Police des aires marines protégées
Rejet d'eaux pluviales
Sécurité des ouvrages hydrauliques
Pêche professionnelle embarquée
Faune protégée ou réglementée (PSCEM)
Filière pêche professionnelle
Police des épaves
Rejets illicites
Autre (PSCEM)
Pêche professionnelle au débarquement
[2024] Travaux
Pêche à pied professionnelle
[2023] Exploitation des ressources minérales
Introduction d'espèce dans le milieu naturel
[2024] Espèces protégées
[2024] Autorisations environnementales
Police des activités de cultures marines
[2024] Contrôles espaces protégés et protection des milieux et du cadre de vie (hors SNC)
[2024] Sites inscrits ou classés (SNC 5.3)
Travaux en milieu marin (PSCEM)
[2024] Contrôles aires protégées (SNC 5.1)
Activités et manifestations soumises à évaluation d’incidence Natura 2000
